"node_id";"taxonomy_name";"taxonomy_rank"
"TI_PLANT_338";"malecena_faro";"species"
"TI_PLANT_339";"capparis_frondosa";"species"
"TI_PLANT_340";"prioria_copaifera";"species"
"TI_PLANT_341";"talisia_princeps";"species"
"TI_PLANT_342";"cupania_rufescens";"species"
"TI_PLANT_343";"clytostoma_binatum";"species"
"TI_PLANT_344";"paullinia_fibrigera";"species"
"TI_PLANT_345";"unknown_sp.";"genus"
"TI_PLANT_346";"ceiba_aesculifolia";"species"
"TI_PLANT_347";"ceiba_grandiflora";"species"
"TI_PLANT_348";"cordia_alliodora";"species"
"TI_PLANT_349";"bursera_excelsa";"species"
"TI_PLANT_350";"bursera_instabilis";"species"
"TI_PLANT_351";"croton_alamosanus";"species"
"TI_PLANT_352";"croton_pseudoniveus";"species"
"TI_PLANT_353";"croton_suberosus";"species"
"TI_PLANT_354";"jatropha_malacophylla";"species"
"TI_PLANT_355";"jatropha_standleyi";"species"
"TI_PLANT_356";"caesalpinia_caladenia";"species"
"TI_PLANT_357";"cynometra_oaxacana";"species"
"TI_PLANT_358";"lonchocarpus_eriocarinalis";"species"
"TI_PLANT_359";"lonchocarpus_sp.";"genus"
"TI_PLANT_360";"prosopis_sp.";"genus"
"TI_PLANT_361";"brosimum_alicastrum";"species"
"TI_PLANT_362";"ficus_cotinifolia";"species"
"TI_PLANT_363";"guapira_macrocarpa";"species"
"TI_PLANT_364";"coccoloba_barbadensis";"species"
"TI_PLANT_365";"guettarda_elliptica";"species"
"TI_PLANT_366";"randia_spinosa";"genus"
"TI_PLANT_367";"paullinia_cururu";"species"
"TI_PLANT_368";"paullinia_sessiliflora";"species"
"TI_PLANT_369";"heliocarpus_pallidus";"species"
"TI_PLANT_370";"urera_caracasana";"species"
"TI_PLANT_371";"lippia_graveolens";"species"
"TI_PLANT_372";"vitex_hemsleyi";"species"
"TI_PLANT_373";"acalypha_acalypha arvensis";"species"
"TI_PLANT_374";"acalypha_acalypha sp";"genus"
"TI_PLANT_375";"aegiphila_aegiphila falcata";"species"
"TI_PLANT_376";"aegiphila_aegiphila sp";"genus"
